pasaporte,tipo,nombre,edad,genero,nacionalidad,patente
N22415818,trabajador,Oswaldo Zedillo,73,hombre,SALVADOREÑA,HE5247
T84921359,trabajador,Angela Esperanza Cortez Rosas,67,hombre,SUECA,HE5247
P44811148,trabajador,Pascual Miranda,76,hombre,PAKISTANI,HE5247
A28842541,trabajador,Dolores Manuel Castillo Leiva,81,hombre,AUSTRALIANA,HE5247
X80622536,trabajador,Frazer Bouvet,55,mujer,DE SANTO TOME,HE5247
U66924527,capitan,Teri Finch,59,hombre,LAOSIANA,HE5247
K96803196,trabajador,Meredith Mcclure,22,mujer,RUMANA,HE5247
S96030318,trabajador,Aldo Ibarra,32,mujer,SALVADOREÑA,LA5643
W47775182,capitan,Fidel Emiliano Molina,62,hombre,TOGOLESA,LA5643
X74534091,trabajador,Mahi Gentry,38,hombre,YEMENI,LA5643
R99245213,trabajador,Micaela Padron,69,mujer,ITALIANA,AU5998
R31033516,trabajador,Delia Riojas Lozada,27,hombre,RUMANA,AU5998
K33835641,trabajador,Macaulay Lucas,32,hombre,PARAGUAYA,AU5998
C18313949,trabajador,Anam Archer,25,mujer,CANADIENSE,AU5998
A12227676,trabajador,Ocean Wooten,53,hombre,SWAZI,AU5998
S51168316,capitan,Sonya Schofield,23,mujer,REINO UNIDO,AU5998
R80128056,trabajador,Nuha Denton,28,mujer,MALDIVA,AU5998
R18693239,trabajador,Francesco Moore,41,hombre,NEPALESA,AU5998
Y86570054,trabajador,Kamil Clayton,33,mujer,TAILANDESA,AU5998
M17084370,trabajador,Manuel Castro,27,mujer,ARGENTINA,YN4644
F46237407,capitan,Dolores Hector Mata,66,mujer,MONGOLESA,YN4644
H51404851,trabajador,Dulce Samuel Altamirano,73,hombre,DE BAHREIN,YN4644
N20315368,trabajador,Tomas Olvera,16,hombre,MOLDOVIA,YN4644
S80959779,trabajador,Sanjay Beltran,49,mujer,INDONESA,YN4644
I77626067,trabajador,Artur Sheldon,30,mujer,GUINEA,YN4644
L52626275,trabajador,Estelle Ayala,38,hombre,SUECA,YN4644
L37265580,trabajador,Alicia Cristal Ocasio Ramirez,42,mujer,SALVADOREÑA,KI7112
T24679589,trabajador,Anabel Emilia Zamora avalos,36,mujer,PANAMEÑA,KI7112
J46520579,trabajador,Vincenzo Hopper,33,hombre,GUYANESA,KI7112
I77961063,trabajador,Tj Mackie,44,mujer,ARGELIANA,KI7112
V98816399,trabajador,Evie Payne,43,hombre,LAOSIANA,KI7112
M92704998,trabajador,Brielle Riley,56,mujer,SWAZI,KI7112
V88009042,trabajador,Ella-May Jeffery,48,hombre,NIGERINA,KI7112
F18210761,trabajador,Luka Mays,55,mujer,MARFILEÑA,KI7112
R68569887,trabajador,Aleesha Gonzalez,25,mujer,NICARAGUENSE,KI7112
I14560493,trabajador,Teegan Hooper,42,mujer,GUINEA,KI7112
D26044036,capitan,Nuha Davila,24,hombre,SWAZI,KI7112
F96333768,trabajador,Rosario Arce Montaño,34,hombre,GUYANESA,EE2109
